R_ohm,L_H,C_F,f0_Hz,Q,BW_Hz
1000.0,0.0024,1.5e-08,26525.82384864923,0.4,66314.55962162308
1000.0,0.0024,1.6e-08,25683.518502562496,0.38729833462074165,66314.55962162308
1000.0,0.0024,1.8e-08,24214.653463856135,0.36514837167011077,66314.55962162305
1000.0,0.0024,2e-08,22972.037309241336,0.34641016151377546,66314.55962162306
1000.0,0.0024,2.2e-08,21902.978173115596,0.3302891295379082,66314.55962162306
1000.0,0.0024,2.4e-08,20970.505043536265,0.3162277660168379,66314.55962162306
1000.0,0.0024,2.7e-08,19771.181761588254,0.2981423969999719,66314.55962162308
1000.0,0.0024,3e-08,18756.58991993971,0.282842712474619,66314.55962162306
1000.0,0.0024,3.3e-08,17883.706790483495,0.2696799449852968,66314.55962162308
1000.0,0.0024,3.6e-08,17122.345668374997,0.25819888974716115,66314.55962162306
1000.0,0.0024,3.9e-08,16450.617604136514,0.2480694691784169,66314.55962162306
1000.0,0.0024,4.3e-08,15666.799411007118,0.23624976928744731,66314.55962162306
1000.0,0.0024,4.7e-08,14985.304832049182,0.22597307314641282,66314.55962162306
1000.0,0.0024,5.1e-08,14385.647778761262,0.2169304578186562,66314.55962162306
1000.0,0.0024,5.6e-08,13728.418103351163,0.20701966780270625,66314.55962162306
1000.0,0.0024,6.2e-08,13047.240446548718,0.19674775073518586,66314.55962162308
1000.0,0.0024,6.8e-08,12458.336426302434,0.18786728732554484,66314.55962162306
1000.0,0.0024,7.5e-08,11862.709056952952,0.17888543819998318,66314.55962162306
1000.0,0.0024,8.2e-08,11345.080572838135,0.1710797845536603,66314.55962162306
1000.0,0.0024,9.1e-08,10769.457199961236,0.16239958858823,66314.55962162308
1000.0,0.0024,1e-07,10273.407401024997,0.15491933384829668,66314.55962162306
1000.0,0.0027,1e-08,30629.38307898845,0.5196152422706632,58946.27521922049
1000.0,0.0027,1.1e-08,29203.97089748746,0.49543369430686224,58946.2752192205
1000.0,0.0027,1.2e-08,27960.673391381686,0.47434164902525694,58946.275219220486
1000.0,0.0027,1.3e-08,26863.746055853848,0.45573271518764996,58946.27521922051
1000.0,0.0027,1.5e-08,25008.786559919616,0.4242640687119285,58946.2752192205
1000.0,0.0027,1.6e-08,24214.653463856135,0.4107919181288746,58946.27521922049
1000.0,0.0027,1.8e-08,22829.794224499994,0.38729833462074176,58946.275219220486
1000.0,0.0027,2e-08,21658.244478713226,0.36742346141747667,58946.27521922051
1000.0,0.0027,2.2e-08,20650.325859187968,0.35032452487268534,58946.2752192205
1000.0,0.0027,2.4e-08,19771.181761588254,0.33541019662496846,58946.2752192205
1000.0,0.0027,2.7e-08,18640.44892758779,0.31622776601683794,58946.275219220486
1000.0,0.0027,3e-08,17683.88256576615,0.3,58946.27521922051
1000.0,0.0027,3.3e-08,16860.920459070385,0.28603877677367767,58946.275219220515
1000.0,0.0027,3.6e-08,16143.102309237423,0.2738612787525831,58946.275219220486
1000.0,0.0027,3.9e-08,15509.791016788964,0.2631174057921088,58946.275219220486
1000.0,0.0027,4.3e-08,14770.800137350056,0.25058072087536704,58946.27521922049
1000.0,0.0027,4.7e-08,14128.280886519353,0.23968063858108837,58946.27521922049
1000.0,0.0027,5.1e-08,13562.918794831043,0.23008949665421113,58946.27521922049
1000.0,0.0027,5.6e-08,12943.27671445836,0.21957751641341997,58946.2752192205
1000.0,0.0027,6.2e-08,12301.056260701327,0.20868250309207573,58946.27521922049
1000.0,0.0027,6.8e-08,11745.832225789107,0.19926334924652145,58946.2752192205
1000.0,0.0027,7.5e-08,11184.269356552675,0.18973665961010275,58946.2752192205
1000.0,0.0027,8.2e-08,10696.244541548807,0.18145751367274016,58946.27521922049
1000.0,0.0027,9.1e-08,10153.541621054505,0.17225077552896437,58946.27521922049
1000.0,0.0027,1e-07,9685.861385542454,0.16431676725154984,58946.27521922049
1000.0,0.003,1e-08,29057.584156627363,0.5477225575051662,53051.64769729844
1000.0,0.003,1.1e-08,27705.31942719963,0.5222329678670935,53051.64769729845
1000.0,0.003,1.2e-08,26525.823848649223,0.5,53051.647697298446
1000.0,0.003,1.3e-08,25485.187206258906,0.4803844614152614,53051.647697298446
1000.0,0.003,1.5e-08,23725.418113905904,0.447213595499958,53051.647697298446
1000.0,0.003,1.6e-08,22972.037309241336,0.4330127018922193,53051.647697298446
1000.0,0.003,1.8e-08,21658.244478713226,0.408248290463863,53051.647697298446
1000.0,0.003,2e-08,20546.814802049994,0.3872983346207417,53051.647697298446
1000.0,0.003,2.2e-08,19590.61924191225,0.3692744729379982,53051.647697298446
1000.0,0.003,2.4e-08,18756.58991993971,0.3535533905932738,53051.647697298446
1000.0,0.003,2.7e-08,17683.88256576615,0.3333333333333333,53051.64769729845
1000.0,0.003,3e-08,16776.404034829015,0.31622776601683794,53051.64769729845
1000.0,0.003,3.3e-08,15995.673629278272,0.30151134457776363,53051.647697298446
1000.0,0.003,3.6e-08,15314.691539494224,0.2886751345948129,53051.64769729844
1000.0,0.003,3.9e-08,14713.879693881587,0.2773500981126146,53051.647697298446
1000.0,0.003,4.3e-08,14012.811389146234,0.2641352718976871,53051.64769729846
1000.0,0.003,4.7e-08,13403.264107207217,0.2526455763199557,53051.647697298446
1000.0,0.003,5.1e-08,12866.914533471612,0.242535625036333,53051.64769729844
1000.0,0.003,5.6e-08,12279.070441052774,0.23145502494313785,53051.647697298446
1000.0,0.003,6.2e-08,11669.806622907057,0.21997067253202993,53051.64769729845
1000.0,0.003,6.8e-08,11143.074854309616,0.2100420126042015,53051.64769729844
1000.0,0.003,7.5e-08,10610.32953945969,0.2,53051.647697298446
1000.0,0.003,8.2e-08,10147.348548431328,0.19127301391900148,53051.647697298446
1000.0,0.003,9.1e-08,9632.495351955147,0.18156825980064073,53051.647697298446
1000.0,0.003,1e-07,9188.814923696535,0.17320508075688776,53051.64769729844
1000.0,0.0033,1e-08,27705.319427199625,0.574456264653803,48228.77063390767
1000.0,0.0033,1.1e-08,26415.985596933966,0.5477225575051662,48228.770633907676
1000.0,0.0033,1.2e-08,25291.380688605575,0.5244044240850758,48228.77063390768
1000.0,0.0033,1.3e-08,24299.17258108826,0.5038314736557788,48228.77063390768
1000.0,0.0033,1.5e-08,22621.298585819,0.469041575982343,48228.77063390768
1000.0,0.0033,1.6e-08,21902.978173115593,0.45414755311462374,48228.770633907676
1000.0,0.0033,1.8e-08,20650.325859187968,0.42817441928883765,48228.77063390768
1000.0,0.0033,2e-08,19590.61924191225,0.406201920231798,48228.770633907676
1000.0,0.0033,2.2e-08,18678.922547318176,0.3872983346207417,48228.770633907676
1000.0,0.0033,2.4e-08,17883.706790483495,0.37080992435478316,48228.77063390768
1000.0,0.0033,2.7e-08,16860.920459070385,0.34960294939005054,48228.77063390768
1000.0,0.0033,3e-08,15995.673629278272,0.33166247903554,48228.77063390767
1000.0,0.0033,3.3e-08,15251.276395299103,0.31622776601683794,48228.77063390768
1000.0,0.0033,3.6e-08,14601.98544874373,0.3027650354097492,48228.770633907676
1000.0,0.0033,3.9e-08,14029.13383077648,0.2908872369413698,48228.770633907676
1000.0,0.0033,4.3e-08,13360.691429705494,0.277027410280123,48228.77063390769
1000.0,0.0033,4.7e-08,12779.510900000307,0.26497691589541683,48228.77063390769
1000.0,0.0033,5.1e-08,12268.121646685588,0.25437350953458415,48228.77063390768
1000.0,0.0033,5.6e-08,11707.634296255195,0.2427520781138061,48228.770633907676
1000.0,0.0033,6.2e-08,11126.724038672322,0.2307071876895319,48228.770633907676
1000.0,0.0033,6.8e-08,10624.505002747499,0.220293921306753,48228.77063390768
1000.0,0.0033,7.5e-08,10116.552275442229,0.20976176963403032,48228.77063390768
1000.0,0.0033,8.2e-08,9675.117220964838,0.20060882941442132,48228.770633907676
1000.0,0.0033,9.1e-08,9184.223959171288,0.19043039742576884,48228.770633907676
1000.0,0.0033,1e-07,8761.191269246237,0.18165902124584948,48228.77063390768
1000.0,0.0036,1e-08,26525.823848649223,0.6,44209.70641441537
1000.0,0.0036,1.1e-08,25291.380688605575,0.5720775535473553,44209.706414415385
1000.0,0.0036,1.2e-08,24214.653463856135,0.5477225575051662,44209.70641441537
1000.0,0.0036,1.3e-08,23264.686525183446,0.5262348115842175,44209.70641441538
1000.0,0.0036,1.5e-08,21658.244478713226,0.48989794855663565,44209.70641441537
1000.0,0.0036,1.6e-08,20970.505043536265,0.4743416490252569,44209.70641441537
1000.0,0.0036,1.8e-08,19771.181761588254,0.4472135954999579,44209.70641441538
1000.0,0.0036,2e-08,18756.58991993971,0.4242640687119285,44209.70641441537
1000.0,0.0036,2.2e-08,17883.706790483495,0.4045199174779453,44209.70641441537
1000.0,0.0036,2.4e-08,17122.345668374997,0.3872983346207417,44209.70641441538
1000.0,0.0036,2.7e-08,16143.102309237423,0.36514837167011077,44209.70641441537
1000.0,0.0036,3e-08,15314.691539494224,0.3464101615137755,44209.70641441536
